"Photo","Picture","MLS Number","Class","Building Type","Area","Price","Address","City","State","Status","Radar ID","Zoning","Days On Market"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712523/0/60/45/bbfa9dd33959fee4bb76e26baa962520/4/6bdf62511d4ec76d2ef684fdcea49e6a/MAXEBRDI40712523.JPG","28","40712523","RESIDENTIAL","Detached","Oakland Zip Code 94608","$649,000","2914 CHESTNUT ST","OAKLAND","CA","New",,"1001","19"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712532/0/60/45/75a1800800c8705985d409224dd941fa/4/9c51ad3fc5c3301dad7d20a71f6ea3aa/MAXEBRDI40712532.JPG","29","40712532","RESIDENTIAL","Detached","San Leandro","$649,000","1003 GREENBRIER CT","SAN LEANDRO","CA","New",,"1001","2"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711469/0/60/45/7b20cfd9a973f721021a1865e28dc18c/8/f9e24eb7ebf47b91d39da268bf3d6a70/MAXEBRDI40711469.JPG","30","40711469","RESIDENTIAL","Detached","Castro Valley","$649,000","4550 MALABAR AVE","CASTRO VALLEY","CA","Pending",,"1001","9"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40708464/0/60/45/f356c13e8aa7d5a61573175412adf1c3/2/3118e1bfdb653ba0f7d864a15952cc6c/MAXEBRDI40708464.JPG","24","40708464","RESIDENTIAL","Detached","Fremont","$649,000","5593 Tilden Pl","FREMONT","CA","Cancelled",,,"28"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40704838/0/60/45/f2c1003d88a6363771f26c125cdc5928/2/eb498ca127e0f25eac83b9ac12a6dced/MAXEBRDI40704838.JPG","24","40704838","RESIDENTIAL","Detached","Pleasanton","$649,000","2825 Whitney Drive","PLEASANTON","CA","Active",,,"45"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40710082/0/60/45/ae8db1df6f691d7483943196b619a541/4/72032a96168cdb6363e5f79f2e4acf8d/MAXEBRDI40710082.JPG","23","40710082","RESIDENTIAL","Detached","Walnut Creek","$649,900","2171 OLYMPIC BLVD","WALNUT CREEK","CA","Back on Market",,"1001","16"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712716/0/60/45/c2eff8f1ee108b63ca97bd7525f67273/2/e61fdf897c9545b03fe0a5e0ab8fb7a1/MAXEBRDI40712716.JPG","26","40712716","RESIDENTIAL","Detached","Hayward","$649,900","2828 D ST","HAYWARD","CA","New",,"1001","1"
"http://cdnparap30.paragonrels.com/ParagonImages/Static/60/45/739e64b314b28e70738977c8162c55db/NoPhotoAvailable.jpg","0","40712543","RESIDENTIAL","Detached","Pleasant Hill","$650,000","528 Shelly Drive","PLEASANT HILL","CA","Pending",,,"26"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40712682/0/60/45/9b521580b062456b4e10370ae6bf7b17/8/cace7d27c81fe4fa18ed2f6dfb66d9f6/MAXEBRDI40712682.JPG","23","40712682","RESIDENTIAL","Detached","Concord","$652,000","4484 BARBERRY CT","CONCORD","CA","New",,"1003","2"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711218/0/60/45/f2d265f22f9a1b55eeef1778bc58a982/2/0dd9b59fd32e2f017e4e4b1e279abc43/MAXEBRDI40711218.JPG","20","40711218","RESIDENTIAL","Detached","Newark","$659,900","36883 PORT SAILWOOD DR","NEWARK","CA","Pending",,"1001","8"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711769/0/60/45/ab51feb8cbefd3365690a0561ada5f7b/8/7f6e5b04b8cc796c632aa83561d9607c/MAXEBRDI40711769.JPG","1","40711769","RESIDENTIAL","Detached","El Cerrito","$659,950","2427 Edwards Avenue","EL CERRITO","CA","Active",,,"41"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40702850/0/60/45/1b47209286550ca854560a1a76c10d02/4/2d2a702675ebad52e8703e4ca17d0c18/MAXEBRDI40702850.JPG","30","40702850","RESIDENTIAL","Detached","Napa County","$659,998","10 Horizon Ct","AMERICAN CANYON","CA","Active",,,"21"
"http://cdnparap30.paragonrels.com/ParagonImages/Property/P3/MAXEBRDI/40711736/0/60/45/48e02c6ff7523f9908c41d4041c8b6f9/2/a698549eaa41f39815cd2a010fe41865/MAXEBRDI40711736.JPG","29","40711736","RESIDENTIAL","Detached","Solano County","$660,800","1001 Songwood Road","VALLEJO","CA","Active",,,"11"
